Bitcoin_Close_boxcox,Nasdaq_Close_boxcox,CPI_boxcox,Retail_Sales_boxcox,M2_Money_Supply_boxcox,Nasdaq_Close_lag30_boxcox,CPI_lag30_boxcox,Retail_Sales_lag30_boxcox,M2_Money_Supply_lag30_boxcox,Real_GDP,Real_GDP_lag30
-2.2788543911803294,7.6431384252019,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.6733814940405525,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.2327267990414255,7.645925670704935,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.6733814940405525,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.252901657609131,7.629448752777333,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.684294381113872,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.2662921598494448,7.629814935766865,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.668439088763456,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.2788543911803294,7.629814935766865,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.69470800267916,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.269414287021881,7.629814935766865,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.705092543504849,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.273596146616343,7.620674552338689,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.705092543504849,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.285210282479605,7.604173682816407,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.705092543504849,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.284147449328953,7.612387469072675,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.716834076332036,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.2862745322372913,7.601818851406827,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.713286214840779,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.29484002141041,7.617933644292183,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.702939173623132,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.284147449328953,7.617933644292183,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.697272396732301,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.2937642904339737,7.617933644292183,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.6986006176730255,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.29484002141041,7.602413903011128,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.6986006176730255,0.24894760682641243,0.8892442735229585,5.0345485793801,16872.266,16872.266
-2.284147449328953,7.599649535363112,0.24717623989672774,0.8767834473139857,5.3439386440873875,7.6986006176730255,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3391087960623156,7.628494358833832,0.24717623989728543,0.8767834513574807,5.345032126935465,7.716370783636786,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.306769967947793,7.638924811507655,0.24717623989728543,0.8767834513574807,5.345032126935465,7.711228896097393,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3013250899853053,7.653918430205104,0.24717623989728543,0.8767834513574807,5.345032126935465,7.719920627693284,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3289306193269352,7.653918430205104,0.24717623989728543,0.8767834513574807,5.345032126935465,7.715374003921809,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3122523904319796,7.653918430205104,0.24717623989728543,0.8767834513574807,5.345032126935465,7.713381788146533,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3211037687796803,7.653918430205104,0.24717623989728543,0.8767834513574807,5.345032126935465,7.713381788146533,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3211037687796803,7.64289314000456,0.24717623989728543,0.8767834513574807,5.345032126935465,7.713381788146533,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.32780775158076,7.65176396515649,0.24717623989728543,0.8767834513574807,5.345032126935465,7.720835167236171,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3166657382779277,7.654998304570476,0.24717623989728543,0.8767834513574807,5.345032126935465,7.708460186676626,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3266864739580555,7.657760972593127,0.24717623989728543,0.8767834513574807,5.345032126935465,7.678074371079713,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.318881649597497,7.657760972593127,0.24717623989728543,0.8767834513574807,5.345032126935465,7.669774586506011,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.2980759551863867,7.657760972593127,0.24717623989728543,0.8767834513574807,5.345032126935465,7.6621232814184035,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.322217168065452,7.676570640440799,0.24717623989728543,0.8767834513574807,5.345032126935465,7.6621232814184035,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
-2.3144559975365753,7.678318853956881,0.24717623989728543,0.8767834513574807,5.345032126935465,7.6621232814184035,0.2489476068270053,0.8892442761723005,5.036041895288873,16872.266,16872.266
